name,price
[Brand New]ThinkPad Yoga 260 2-in-1 laptop Tablet computer Intel Quad/Dual-Core i7/i5 DDR4 8G/16G RAM 256G/512G/1T SSD IPS brilliant 12.5'' touch screen Windows11 Pro Ms office 365 Online Class Learning Computer WiFi/Bluetooth/Notebook/Business,"₱20,388.00"
"Original Fujitsu Intel Core i3 -3120M Laptop , 4GB Ram 250 HDD , Windows 10 Installed , HD Graphics 4000 , HDMI , VGA , SD Card , Headset , Speaker , DVD Rom , Lan port , USB 4 ports , USB Wifi Receiver  , Complete application installed , Ready to use","₱9,199.00"
[Brand New]ThinkPad Yoga 370 2-in-1 laptop Tablet computer Intel Quad/Dual-Core i7/i5 DDR4 8G/16G RAM 256G/512G/1T SSD IPS 1920×1080 brilliant 13.3'' touch screen Windows11 Pro Ms office 365 Online Class Learning Computer WiFi/Bluetooth/Notebook/Business,"₱33,880.00"
HUAWEI MateBook D 14 Laptop | Intel® Core™ processor | i5 | 8GB+512GB / 16GB+512GB | FullView display,"₱42,999.00"
HP Stream 11 Pro | for Online Class | Work from Home | Used | 11.6 inch | 2GB | 160GB HDD,"₱4,999.00"
DELL Laptop E6420 Office Thinkpad Games i5 i7 2nd Gen i3 I5 I7 3rd Gen 4th Gen dual-core 4G 8G 16G DDR3 1600MHZ Memory 120g 240g 480g SSD refurbished,"₱15,299.00"
"DESKTOP SUMMER PROMO  intel core 2 duo 2gb ram 160 GB HDD | 17"" square monitor| FREEBIES: GAMING KEYBOARD, MOUSE VGA CABLE POWERCORD | ams trading","₱2,999.00"
"[DELIVER IN 3 DAYS] DERE Official R9 Pro Laptop 15.6'' FHD Screen 11th Gen Intel N5095 CPU Windows 10 Number Keyboard Easy Typing Office Budget Laptop For Sale Brand New Original Lowest Price For Student Netbook (8+128/12+256/512, Red/Silver/Black)","₱20,819.00"
12 giveaways/Brand new laptop for sale/Intel I5 + I7 core / 16GB / 8GB RAM FHD camera + WiFi + Bluetooth/built-in numeric keypad/suitable for online education + work + games,"₱25,865.00"
"「DELIVER IN 3 DAYS」DERE MBook M11/M12 Laptop Brand New Original 15.6 inch 2.5K IPS Screen Intel Celeron N5095 CPU Windows 11 Fingerprint Unlock Backlit Keyboard 2.4G+5G WiFi+RJ45 Computer (12+256/512,Red/Silver)","₱18,999.00"
[cod] 16 free gifts / new laptop for sale / fifth generation processor / core i5 + i7 / 16GB / 8GB memory / 256g + 512g SSD / FHD camera + WiFi + Bluetooth / built-in digital keyboard / suitable for online education + work + game + AutoCAD,"₱19,718.00"
HP Laptop Brand New Laptop Original 15.6 inch HD Screen Intel Core i3/i5/i7 16G RAM 480G SSD High End Laptop Portable Laptop Sale Brand New Original Authentic Legit Online Learning gaming Windows 10 Ultra-thin Portable Computer PC 1 Year Warranty,"₱20,300.00"
Low budget Laptop for Online Class | Intel Core 2,"₱4,000.00"
[Brand New]ThinkPad Yoga 370 2-in-1 laptop Tablet computer Intel Quad/Dual-Core i7/i5 DDR4 8G/16G RAM 256G/512G/1T SSD IPS 1920×1080 brilliant 13.3'' touch screen Windows11 Pro Ms office  Online Class Learning Computer WiFi/Bluetooth/Notebook/Business,"₱29,000.00"
【3 year Warranty&COD】Dell Laptop Sale Brand Original Used Laptop Price Cheap Dell Chromebook 3180 Chrome OS｜4GB RAM｜32GB SSD｜11.6-Inch｜Built-In Camera｜Wifi ｜Microsoft Office Work/Game/Online Learning Computer Mini Laptop Netbook,"₱6,099.00"
NEW ASUS Factory Laptop 15.6 inch J4125 gaming laptop computer game notebookgaming 8+256GB 1920*1080p warranty 1year,"₱17,999.00"
"Lenovo Legion 5i 15ITH6H 82JH00JTPH Gaming Laptop | Intel Core i7-11800H | NVIDIA RTX 3060 | 15.6"" FHD 165Hz, | 16GB 3200mhz RAM | 512GB SSD | WIN 11 (PC CENTRAL)","₱87,998.00"
Laptop set / R734 / Intel i5 4300 / 4gb Ram / 120gb SSD / Intel HD Graphics / Wifi ready / 1 Year service store warranty / Windows Ready / Microsoft office installed / GOOD FOR ONLINE SCHOOLING,"₱9,450.00"
Laptop Netbook Panasonic cf sx2 i5 3rd gen 4gb ddr3 250gb hdd intel hd graphics built in cam with laptop bag charger(we also have all in one Computer set pisonet package jeffdata pc),"₱6,998.00"
HP 6570B Laptop PC 15.6 inch HD Screen Intel Core i3/i5/i7 480G SSD high-end laptop portable business student gaming computer,"₱15,400.00"
Dell E6430 Laptop Intel Core i5 Processor 15 inches LED Screen Display with 8GB RAM 128GB/240GB/480GB SSD Storage Authentic Laptop,"₱14,439.00"
Free gift Fedemer 14-inch ultra-thin laptop brand new Intel Celeron N3350/J3355 6G RAM+64G/128G/500G ROM Windows10 narrow bezel ultrabook [1 year warranty] Built-in camera wifi suitable for online office/online courses,"₱9,999.00"
pink notebook [Core i7+ Fingerprint Backlight] LENNOVO Brand new laptop intel CPU performance upgrade ram 16GB 512GB SSD cheap notebook 2022 student game this girl design ultra-thin laptop for business office Install windows 10/11 Warranty provided,"₱17,819.01"
laptop gaming laptop 15.6 inch Ryzen R7 2700U Vega 10 20G RAM 1024G SSD Win10 Backlight Laptop ultra Thin Game Computer,₱699.00
【Assorted Low Budget Laptop】ACER Factory 2022 brand New Products 15.6'' Laptop 11th intel J4125/Core i7 RAM 8GB DDR4 128GB SSD Ultrabook Gaming Notebook Windows 10 Play Games/ Design/ Picture Rendering/ Efficient Office Local 2 Year Warranty Invoicable,"₱17,999.00"
【3 Year Warranty&COD】Dell Laptop Cheap Used Laptap Brand Original Affordable Dell Chromebook 3180 Chrome OS｜4GB RAM｜32GB SSD｜11.6-Inch｜Built-In HD Camera｜WiFi ｜HDMI｜Microsoft Office For Work/Game/Online Learning Mini Netbook Laptop,"₱6,099.00"
[Brand New]Lenovo ThinkPad X1 Carbon laptop Intel Dual-Core i5 8GB RAM 256G/512GB SSD ROM 14-inch Full HD Screen Ultra-Thin Built In Camera/WEBCAM Window 10 OS Authentic Microsoft office Work/Game/Online learning Portable business notebook,"₱23,880.00"
